"action_number","action_id","action_layer_id","title","description","category","level","platform","audience","script_path","script_sha256","hash_policy","public_safe","no_admin_required","no_remediation","mutation","accepted_for_baseline","accepted_for_mutation"
"613","ENDUSER_NETWORK_DUAL_STACK_PRESENCE_SUMMARY_V1","network-evidence-v1","Network dual stack presence summary","Collects sanitized read-only local evidence for network-dual-stack-presence-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/613-network-dual-stack-presence-summary.ps1","0cc3b28ee0c613f5d92d5ee45a0dbccdf5411f4f04db153a1bec9086b78c3b34","lf-normalized-sha256","True","True","True","False","False","False"
"614","ENDUSER_NETWORK_ADDRESS_FAMILY_BALANCE_SUMMARY_V1","network-evidence-v1","Network address family balance summary","Collects sanitized read-only local evidence for network-address-family-balance-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/614-network-address-family-balance-summary.ps1","7525f32165e9d1bab753dd297c783ca530d7def6a5dd26f5f9a665b3b03229a1","lf-normalized-sha256","True","True","True","False","False","False"
"615","ENDUSER_NETWORK_LINK_LOCAL_ADDRESS_PRESENCE_SUMMARY_V1","network-evidence-v1","Network link local address presence summary","Collects sanitized read-only local evidence for network-link-local-address-presence-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/615-network-link-local-address-presence-summary.ps1","3a5aa4bb92f9e44dab984ebeb03c8eaf6653fecb4910c033c0ba9cf068761b3b","lf-normalized-sha256","True","True","True","False","False","False"
"616","ENDUSER_NETWORK_APIPA_PRESENCE_SUMMARY_V1","network-evidence-v1","Network APIPA presence summary","Collects sanitized read-only local evidence for network-apipa-presence-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/616-network-apipa-presence-summary.ps1","4388b40a30f7370f117413386b949ba97e1bb357b0da081de336f0e2b05dd99a","lf-normalized-sha256","True","True","True","False","False","False"
"617","ENDUSER_NETWORK_DHCP_ADDRESSING_PRESENCE_SUMMARY_V1","network-evidence-v1","Network DHCP addressing presence summary","Collects sanitized read-only local evidence for network-dhcp-addressing-presence-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/617-network-dhcp-addressing-presence-summary.ps1","e8f1fb14c369d3fad39427a89ae7d4e917847478ba096bf96fd488eee21a0a23","lf-normalized-sha256","True","True","True","False","False","False"
"618","ENDUSER_NETWORK_STATIC_ADDRESSING_PRESENCE_SUMMARY_V1","network-evidence-v1","Network static addressing presence summary","Collects sanitized read-only local evidence for network-static-addressing-presence-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/618-network-static-addressing-presence-summary.ps1","12469ae84f7f80c7145c10142859aebef572e5ba1805561d53a8e12ae5163663","lf-normalized-sha256","True","True","True","False","False","False"
"619","ENDUSER_NETWORK_IP_CONFIGURATION_COMPLETENESS_SUMMARY_V1","network-evidence-v1","Network IP configuration completeness summary","Collects sanitized read-only local evidence for network-ip-configuration-completeness-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/619-network-ip-configuration-completeness-summary.ps1","93ef7efde0902d48ee56dddb13b97ad1a2cb8e5acba2cebcb3627e8d017633e8","lf-normalized-sha256","True","True","True","False","False","False"
"620","ENDUSER_NETWORK_INTERFACE_ADDRESS_COUNT_CATEGORY_SUMMARY_V1","network-evidence-v1","Network interface address count category summary","Collects sanitized read-only local evidence for network-interface-address-count-category-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/620-network-interface-address-count-category-summary.ps1","98999bc614c4191d63f085b67af500ac9a3ff755fcd41181e4e353adb4c44e0e","lf-normalized-sha256","True","True","True","False","False","False"
"621","ENDUSER_NETWORK_DHCP_ENABLED_INTERFACE_SUMMARY_V1","network-evidence-v1","Network DHCP enabled interface summary","Collects sanitized read-only local evidence for network-dhcp-enabled-interface-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/621-network-dhcp-enabled-interface-summary.ps1","bbc260457852213087f214b2dc90a63946e3ff6d4f0eb19f26d6727425a2235b","lf-normalized-sha256","True","True","True","False","False","False"
"622","ENDUSER_NETWORK_DHCP_LEASE_PRESENCE_SUMMARY_V1","network-evidence-v1","Network DHCP lease presence summary","Collects sanitized read-only local evidence for network-dhcp-lease-presence-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/622-network-dhcp-lease-presence-summary.ps1","90882b46deb91a6633a381c66e03dd5a5d9b2bf1052a417bde0b5d12acb11395","lf-normalized-sha256","True","True","True","False","False","False"
"623","ENDUSER_NETWORK_DHCP_SERVER_PRESENCE_SUMMARY_V1","network-evidence-v1","Network DHCP server presence summary","Collects sanitized read-only local evidence for network-dhcp-server-presence-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/623-network-dhcp-server-presence-summary.ps1","5d7b28cc045b290213ae070cc203f90b2bea2dbf2c3906dc3c8a8aa3157c968e","lf-normalized-sha256","True","True","True","False","False","False"
"624","ENDUSER_NETWORK_DHCP_RENEWAL_TIME_CATEGORY_SUMMARY_V1","network-evidence-v1","Network DHCP renewal time category summary","Collects sanitized read-only local evidence for network-dhcp-renewal-time-category-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/624-network-dhcp-renewal-time-category-summary.ps1","5d87d1c130b7a612c8f7befb6f46b53fa47c327d5c4e07c0008bf9fbc5a6bb83","lf-normalized-sha256","True","True","True","False","False","False"
"625","ENDUSER_NETWORK_DHCP_LEASE_AGE_CATEGORY_SUMMARY_V1","network-evidence-v1","Network DHCP lease age category summary","Collects sanitized read-only local evidence for network-dhcp-lease-age-category-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/625-network-dhcp-lease-age-category-summary.ps1","fa3f195299884380df504429bb11f62775c1894576bb2c4ee990feb354f5fe82","lf-normalized-sha256","True","True","True","False","False","False"
"626","ENDUSER_NETWORK_DHCP_CLIENT_EVENT_WINDOW_SUMMARY_V1","network-evidence-v1","Network DHCP client event window summary","Collects sanitized read-only local evidence for network-dhcp-client-event-window-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/626-network-dhcp-client-event-window-summary.ps1","d370fc7e92ff0c14371f59dad84960191b14129e33e1fe41d2c63c369f46109d","lf-normalized-sha256","True","True","True","False","False","False"
"627","ENDUSER_NETWORK_DHCP_WARNING_ERROR_RATIO_SUMMARY_V1","network-evidence-v1","Network DHCP warning error ratio summary","Collects sanitized read-only local evidence for network-dhcp-warning-error-ratio-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/627-network-dhcp-warning-error-ratio-summary.ps1","6b207def975834cb660598aef371eef3b5c68773977975c1843778710a9958f5","lf-normalized-sha256","True","True","True","False","False","False"
"628","ENDUSER_NETWORK_DHCP_INTERFACE_STATE_CORRELATION_SUMMARY_V1","network-evidence-v1","Network DHCP interface state correlation summary","Collects sanitized read-only local evidence for network-dhcp-interface-state-correlation-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/628-network-dhcp-interface-state-correlation-summary.ps1","9852b9617b79b1ecf7abb293f43ad3436c48fa481b35032e7695c0e56907c68d","lf-normalized-sha256","True","True","True","False","False","False"
"629","ENDUSER_NETWORK_DHCP_SERVICE_START_MODE_SUMMARY_V1","network-evidence-v1","Network DHCP service start mode summary","Collects sanitized read-only local evidence for network-dhcp-service-start-mode-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/629-network-dhcp-service-start-mode-summary.ps1","3cfce6bd7e2c144e304e5c85867812db26e9d866de2779c8e0d05e10b5f58030","lf-normalized-sha256","True","True","True","False","False","False"
"630","ENDUSER_NETWORK_DHCP_TICKET_EVIDENCE_SUMMARY_V1","network-evidence-v1","Network DHCP ticket evidence summary","Collects sanitized read-only local evidence for network-dhcp-ticket-evidence-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/630-network-dhcp-ticket-evidence-summary.ps1","70f05d71a45840e947bffde096f77650b654c44b87ce8de0e718370039053b37","lf-normalized-sha256","True","True","True","False","False","False"
"631","ENDUSER_NETWORK_DNS_SERVER_COUNT_SUMMARY_V1","network-evidence-v1","Network DNS server count summary","Collects sanitized read-only local evidence for network-dns-server-count-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/631-network-dns-server-count-summary.ps1","5ff1fd3113163f7aba5a5f616b96164949f51b46a87ba1ccbee0d4ff93dc929c","lf-normalized-sha256","True","True","True","False","False","False"
"632","ENDUSER_NETWORK_DNS_SERVER_SOURCE_SUMMARY_V1","network-evidence-v1","Network DNS server source summary","Collects sanitized read-only local evidence for network-dns-server-source-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/632-network-dns-server-source-summary.ps1","9162c4e9e52d1ad4a6ffa55859a3a1d4dba2664549a0bb5e136d334c8541fe1c","lf-normalized-sha256","True","True","True","False","False","False"
"633","ENDUSER_NETWORK_DNS_INTERFACE_REGISTRATION_SUMMARY_V1","network-evidence-v1","Network DNS interface registration summary","Collects sanitized read-only local evidence for network-dns-interface-registration-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/633-network-dns-interface-registration-summary.ps1","0d1ac7c23ac514e9e3acab74eeb0bc79dae469e0cc19098540cc92f8de810a9d","lf-normalized-sha256","True","True","True","False","False","False"
"634","ENDUSER_NETWORK_DNS_SUFFIX_PRESENCE_CATEGORY_SUMMARY_V1","network-evidence-v1","Network DNS suffix presence category summary","Collects sanitized read-only local evidence for network-dns-suffix-presence-category-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/634-network-dns-suffix-presence-category-summary.ps1","0a79fef400dde74afb1a1fbf6f7a442f694adb20897cc4580e318b33ca194192","lf-normalized-sha256","True","True","True","False","False","False"
"635","ENDUSER_NETWORK_DNS_SEARCH_LIST_PRESENCE_SUMMARY_V1","network-evidence-v1","Network DNS search list presence summary","Collects sanitized read-only local evidence for network-dns-search-list-presence-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/635-network-dns-search-list-presence-summary.ps1","e8dc7d5cd99cb73d503ebd2fc64d50e16cd54d584662d9a7cc10841493331e76","lf-normalized-sha256","True","True","True","False","False","False"
"636","ENDUSER_NETWORK_DNS_CACHE_SIZE_CATEGORY_SUMMARY_V1","network-evidence-v1","Network DNS cache size category summary","Collects sanitized read-only local evidence for network-dns-cache-size-category-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/636-network-dns-cache-size-category-summary.ps1","92a938cbb3921f16a53c7bb237b7393e52657ac0727c90e618edeec0efc887c0","lf-normalized-sha256","True","True","True","False","False","False"
"637","ENDUSER_NETWORK_DNS_CACHE_ENTRY_TYPE_SUMMARY_V1","network-evidence-v1","Network DNS cache entry type summary","Collects sanitized read-only local evidence for network-dns-cache-entry-type-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/637-network-dns-cache-entry-type-summary.ps1","8d9580a149ed31001eb75b41e44b7683c749d066b3ae412aa05310b87ef0184f","lf-normalized-sha256","True","True","True","False","False","False"
